,total_cup_points,species,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,continent
215,84.17,Arabica,Guatemala,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,0.1,North America
216,84.17,Arabica,Colombia,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,0.0,South America
217,84.17,Arabica,Nicaragua,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,0.12,North America
218,84.17,Arabica,Brazil,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,0.0,South America
219,84.17,Arabica,Costa Rica,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,0.0,North America
220,84.17,Arabica,Ethiopia,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,0.1,Africa
221,84.17,Arabica,"Tanzania, United Republic Of",7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,0.13,Africa
222,84.17,Arabica,Colombia,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,0.12,South America
223,84.17,Arabica,Guatemala,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,North America
224,84.17,Arabica,Kenya,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,0.08,Africa
225,84.17,Arabica,Brazil,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,0.11,South America
226,84.17,Arabica,Guatemala,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,0.11,North America
227,84.17,Arabica,El Salvador,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,0.11,North America
228,84.17,Arabica,Colombia,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,0.0,South America
229,84.17,Arabica,Guatemala,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,0.11,North America
230,84.17,Arabica,Uganda,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,0.11,Africa
231,84.13,Arabica,Indonesia,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,0.12,Asia
232,84.08,Arabica,Colombia,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,0.0,South America
233,84.08,Arabica,Taiwan,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,0.1,Asia
234,84.08,Arabica,Guatemala,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,0.1,North America
235,84.08,Arabica,Colombia,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,South America
236,84.08,Arabica,Guatemala,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,0.1,North America
237,84.08,Arabica,United States (Hawaii),7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8.0,0.11,North America
238,84.08,Arabica,Mexico,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,0.11,North America
239,84.08,Arabica,Ethiopia,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,0.09,Africa
240,84.0,Arabica,Costa Rica,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.08,North America
241,84.0,Arabica,Ethiopia,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,0.11,Africa
242,84.0,Arabica,Honduras,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,0.1,North America
243,84.0,Arabica,Guatemala,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,0.12,North America
244,84.0,Arabica,Colombia,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,0.11,South America
245,84.0,Arabica,Guatemala,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,0.1,North America
246,84.0,Arabica,Guatemala,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,0.1,North America
247,84.0,Arabica,Colombia,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.12,South America
248,84.0,Arabica,Colombia,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,0.12,South America
249,84.0,Arabica,Colombia,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,0.12,South America
250,84.0,Arabica,Ethiopia,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,0.09,Africa
251,84.0,Arabica,Brazil,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,0.1,South America
252,84.0,Arabica,Colombia,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,0.11,South America
253,84.0,Arabica,Kenya,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,0.0,Africa
254,84.0,Arabica,Thailand,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,Asia
255,84.0,Arabica,Kenya,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,0.0,Africa
256,84.0,Arabica,Uganda,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,0.1,Africa
257,84.0,Arabica,Thailand,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,0.06,Asia
258,83.92,Arabica,Brazil,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,0.0,South America
259,83.92,Arabica,Mexico,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,0.11,North America
260,83.92,Arabica,Thailand,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,0.1,Asia
261,83.92,Arabica,Brazil,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,0.11,South America
262,83.92,Arabica,Taiwan,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,0.11,Asia
263,83.92,Arabica,Colombia,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.11,South America
264,83.92,Arabica,Colombia,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,0.0,South America
265,83.92,Arabica,Taiwan,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,Asia
266,83.92,Arabica,Colombia,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,South America
267,83.92,Arabica,Colombia,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,0.0,South America
268,83.92,Arabica,Colombia,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,0.0,South America
269,83.92,Arabica,Taiwan,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,0.06,Asia
270,83.92,Arabica,Colombia,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,0.12,South America
271,83.92,Arabica,Mexico,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,0.12,North America
272,83.92,Arabica,Mexico,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.11,North America
273,83.92,Arabica,Mexico,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,0.0,North America
274,83.83,Arabica,Colombia,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,South America
275,83.83,Arabica,Colombia,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,0.0,South America
276,83.83,Arabica,Costa Rica,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,0.0,North America
277,83.83,Arabica,Guatemala,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,0.11,North America
278,83.83,Arabica,Taiwan,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,Asia
279,83.83,Arabica,Brazil,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,South America
280,83.83,Arabica,Taiwan,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,0.0,Asia
281,83.83,Arabica,Ethiopia,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,0.12,Africa
282,83.83,Arabica,Brazil,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,0.0,South America
283,83.83,Arabica,Costa Rica,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,0.1,North America
284,83.83,Arabica,Guatemala,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,0.1,North America
285,83.83,Arabica,Brazil,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,0.1,South America
286,83.83,Arabica,Ecuador,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,0.09,South America
287,83.83,Arabica,Colombia,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.11,South America
288,83.83,Arabica,Guatemala,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,0.11,North America
289,83.83,Arabica,Mexico,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,0.1,North America
290,83.83,Arabica,Mexico,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,North America
291,83.83,Arabica,Brazil,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,0.12,South America
292,83.83,Arabica,Thailand,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,0.02,Asia
293,83.83,Arabica,Thailand,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,0.01,Asia
294,83.83,Arabica,Ethiopia,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,0.1,Africa
295,83.75,Arabica,Kenya,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,0.11,Africa
296,83.75,Arabica,Brazil,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,0.11,South America
297,83.75,Arabica,Colombia,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.11,South America
298,83.75,Arabica,Taiwan,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,0.0,Asia
299,83.75,Arabica,Colombia,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,0.0,South America
300,83.75,Arabica,China,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,0.1,Asia
301,83.75,Arabica,Colombia,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,0.0,South America
302,83.75,Arabica,Uganda,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,0.12,Africa
303,83.75,Arabica,United States (Puerto Rico),7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,0.12,North America
304,83.75,Arabica,Colombia,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,0.0,South America
305,83.75,Arabica,Colombia,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,0.0,South America
306,83.75,Arabica,Colombia,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,South America
307,83.75,Arabica,Colombia,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,0.11,South America
308,83.75,Arabica,United States (Hawaii),7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,0.0,North America
309,83.75,Arabica,Mexico,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,0.13,North America
310,83.75,Arabica,Guatemala,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,0.11,North America
311,83.75,Arabica,Colombia,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,0.1,South America
312,83.75,Arabica,Colombia,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,0.06,South America
313,83.75,Arabica,United States (Hawaii),7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,7.75,0.0,North America
314,83.67,Arabica,Brazil,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,0.11,South America
315,83.67,Arabica,Kenya,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,0.11,Africa
316,83.67,Arabica,Honduras,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,0.1,North America
317,83.67,Arabica,Nicaragua,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.1,North America
318,83.67,Arabica,Brazil,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,0.11,South America
319,83.67,Arabica,Taiwan,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,0.1,Asia
320,83.67,Arabica,Costa Rica,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,0.11,North America
321,83.67,Arabica,Thailand,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,0.12,Asia
322,83.67,Arabica,Colombia,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,0.11,South America
323,83.67,Arabica,Guatemala,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,0.1,North America
324,83.67,Arabica,Colombia,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,0.0,South America
325,83.67,Arabica,Colombia,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,0.0,South America
326,83.67,Arabica,Guatemala,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,0.12,North America
327,83.67,Arabica,Guatemala,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.11,North America
328,83.67,Arabica,Colombia,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,0.11,South America
329,83.67,Arabica,Guatemala,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,0.11,North America
330,83.67,Arabica,Guatemala,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,0.11,North America
331,83.67,Arabica,Mexico,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,0.12,North America
332,83.67,Arabica,Indonesia,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,0.12,Asia
333,83.67,Arabica,Guatemala,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,0.1,North America
334,83.67,Arabica,United States (Hawaii),7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,8.17,0.0,North America
335,83.58,Arabica,Brazil,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,0.11,South America
336,83.58,Arabica,Guatemala,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.11,North America
337,83.58,Arabica,Colombia,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.11,South America
338,83.58,Arabica,China,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.1,Asia
339,83.58,Arabica,Colombia,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,0.12,South America
340,83.58,Arabica,Mexico,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,0.12,North America
341,83.58,Arabica,Ethiopia,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,Africa
342,83.58,Arabica,Uganda,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.12,Africa
343,83.58,Arabica,Colombia,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.0,South America
344,83.58,Arabica,Colombia,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,0.12,South America
345,83.58,Arabica,Colombia,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,0.0,South America
346,83.58,Arabica,Taiwan,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,0.11,Asia
347,83.58,Arabica,Colombia,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.11,South America
348,83.58,Arabica,Mexico,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.12,North America
349,83.58,Arabica,Colombia,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.11,South America
350,83.58,Arabica,Brazil,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,0.12,South America
351,83.5,Arabica,Colombia,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,0.0,South America
352,83.5,Arabica,Taiwan,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,10.0,0.11,Asia
353,83.5,Arabica,Costa Rica,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,0.0,North America
354,83.5,Arabica,Colombia,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,South America
355,83.5,Arabica,Guatemala,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.1,North America
356,83.5,Arabica,Colombia,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,0.12,South America
357,83.5,Arabica,"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.13,Africa
358,83.5,Arabica,Indonesia,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,0.13,Asia
359,83.5,Arabica,Ethiopia,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.1,Africa
360,83.5,Arabica,Colombia,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,0.0,South America
361,83.5,Arabica,Colombia,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,0.11,South America
362,83.5,Arabica,Guatemala,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,0.1,North America
363,83.5,Arabica,Colombia,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,0.0,South America
364,83.5,Arabica,Honduras,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,0.1,North America
365,83.5,Arabica,Colombia,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,South America
366,83.5,Arabica,Colombia,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,0.11,South America
367,83.5,Arabica,Mexico,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,0.13,North America
368,83.5,Arabica,Mexico,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,0.11,North America
369,83.5,Arabica,Mexico,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,0.12,North America
370,83.5,Arabica,Guatemala,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,0.1,North America
371,83.5,Arabica,Colombia,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,South America
372,83.5,Arabica,Guatemala,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,0.0,North America
373,83.5,Arabica,United States (Hawaii),7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,7.58,0.01,North America
374,83.5,Arabica,Indonesia,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,0.0,Asia
375,83.42,Arabica,Colombia,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,0.0,South America
376,83.42,Arabica,Guatemala,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.1,North America
377,83.42,Arabica,Colombia,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,0.11,South America
378,83.42,Arabica,Costa Rica,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,0.09,North America
379,83.42,Arabica,Taiwan,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,10.0,0.11,Asia
380,83.42,Arabica,Uganda,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.11,Africa
381,83.42,Arabica,Thailand,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,0.13,Asia
382,83.42,Arabica,El Salvador,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.11,North America
383,83.42,Arabica,Colombia,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.12,South America
384,83.42,Arabica,Brazil,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,0.12,South America
385,83.42,Arabica,"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.13,Africa
386,83.42,Arabica,Colombia,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,0.12,South America
387,83.42,Arabica,Guatemala,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,0.1,North America
388,83.42,Arabica,Guatemala,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,0.1,North America
389,83.42,Arabica,Guatemala,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,0.11,North America
390,83.42,Arabica,United States (Hawaii),7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,North America
391,83.42,Arabica,Colombia,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,0.11,South America
392,83.42,Arabica,Colombia,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,0.1,South America
393,83.42,Arabica,United States (Hawaii),7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.01,North America
394,83.42,Arabica,Thailand,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,0.11,Asia
395,83.38,Arabica,Mexico,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,0.09,North America
396,83.33,Arabica,Colombia,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,South America
397,83.33,Arabica,Colombia,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,0.0,South America
398,83.33,Arabica,Colombia,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,0.0,South America
399,83.33,Arabica,Brazil,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,0.1,South America
400,83.33,Arabica,Mexico,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.12,North America
401,83.33,Arabica,Colombia,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,0.11,South America
402,83.33,Arabica,"Tanzania, United Republic Of",7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.12,Africa
403,83.33,Arabica,Mexico,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,0.12,North America
404,83.33,Arabica,Costa Rica,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,0.12,North America
405,83.33,Arabica,United States (Hawaii),7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,0.11,North America
406,83.33,Arabica,Costa Rica,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,0.11,North America
407,83.33,Arabica,Peru,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,0.12,South America
408,83.33,Arabica,Haiti,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,0.11,North America
409,83.33,Arabica,Colombia,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,0.11,South America
410,83.33,Arabica,Guatemala,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,North America
411,83.33,Arabica,United States (Hawaii),7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,0.1,North America
412,83.33,Arabica,Burundi,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,0.0,Africa
413,83.33,Arabica,Colombia,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.0,South America
414,83.33,Arabica,United States (Hawaii),8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,7.92,0.01,North America
415,83.33,Arabica,United States (Hawaii),7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,7.5,0.0,North America
416,83.25,Arabica,Mexico,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,0.11,North America
417,83.25,Arabica,Costa Rica,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,0.11,North America
418,83.25,Arabica,Costa Rica,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,0.11,North America
419,83.25,Arabica,Guatemala,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,0.11,North America
420,83.25,Arabica,Uganda,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,0.12,Africa
421,83.25,Arabica,Brazil,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,0.12,South America
422,83.25,Arabica,Colombia,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,0.0,South America
423,83.25,Arabica,Mexico,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,0.12,North America
424,83.25,Arabica,Taiwan,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,0.1,Asia
425,83.25,Arabica,Taiwan,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,0.1,Asia
426,83.25,Arabica,Colombia,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,0.0,South America
427,83.25,Arabica,Guatemala,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,0.1,North America
428,83.25,Arabica,Colombia,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,0.11,South America
429,83.25,Arabica,Mexico,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,0.12,North America
430,83.25,Arabica,United States (Hawaii),7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,7.67,0.11,North America
431,83.25,Arabica,Mexico,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,0.13,North America
